"Sr. No","Vertical","Service Line","Cluster","SubCluster","Account","Location","Block","Category","Frequency","Dwmsparameter","Formula","Uom","Ideal Direction","Expected Entry Date","Actual Entry Date","Numerator","Num1 Decription","Num1","Num2 Decription","Num2","Num3 Decription","Num3","Denominator","Deno1 Decription","Deno1","Deno2 Decription","Deno2","Deno3 Decription","Deno3","Achieved","Calculated Value","Target Achieved","Status"
1325,"ECOM","WAREHOUSE","WEST",,"BOMU XL","MULUND, MUMBAI","HB LM","QUALITY","Daily","FDPS (First Day Pickup Score) Performance","FDPS(FIRST DAY PICKUP SCORE) PERFORMANCE (%)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1326,"ECOM","WAREHOUSE","EAST",,"FRJD","KOLKATA",,"QUALITY","Daily","FDPS (First Day Pickup Score) Performance","FDPS(FIRST DAY PICKUP SCORE) PERFORMANCE (%)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1327,"ECOM","WAREHOUSE","NORTH",,"HBDH_MUNDKA","MUNDKA, DELHI","HBDH","QUALITY","Daily","FDPS (First Day Pickup Score) Performance","FDPS(FIRST DAY PICKUP SCORE) PERFORMANCE (%)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1328,"ECOM","TRANSPORTATION","NORTH",,"MID MILES- TPT","DELHI",,"QUALITY","Daily","DEA (Delivery Estimated Accuracy) Performance","DELAYED DELIVERIES (PERCENTAGE)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1329,"ECOM","WAREHOUSE","NORTH",,"HSCD_DHOOLSIRAS","DHOOLSIRAS, DELHI","HSCD","QUALITY","Daily","DEA (Delivery Estimated Accuracy) Performance","DELAYED DELIVERIES (PERCENTAGE)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1330,"ECOM","WAREHOUSE","SOUTH",,"FBLB_YESHWANTPUR","BANGALORE","FBLB","QUALITY","Daily","DEA (Delivery Estimated Accuracy) Performance","DELAYED DELIVERIES (PERCENTAGE)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1331,"ECOM","WAREHOUSE","SOUTH",,"HBCE_MADHAVARAM","CHENNAI","HBCE","QUALITY","Daily","DEA (Delivery Estimated Accuracy) Performance","DELAYED DELIVERIES (PERCENTAGE)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1332,"ECOM","WAREHOUSE","WEST",,"PNQL","NARHE, PUNE","PNQL","QUALITY","Daily","DEA (Delivery Estimated Accuracy) Performance","DELAYED DELIVERIES (PERCENTAGE)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1333,"ECOM","WAREHOUSE","EAST",,"FRJD","KOLKATA",,"QUALITY","Daily","DEA (Delivery Estimated Accuracy) Performance","DELAYED DELIVERIES (PERCENTAGE)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1334,"ECOM","WAREHOUSE","NORTH",,"HBDH_MUNDKA","MUNDKA, DELHI","HBDH","QUALITY","Daily","DEA (Delivery Estimated Accuracy) Performance","DELAYED DELIVERIES (PERCENTAGE)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1335,"ECOM","WAREHOUSE","WEST",,"BOMU XL","MULUND, MUMBAI","HB LM","QUALITY","Daily","DEA (Delivery Estimated Accuracy) Performance","DELAYED DELIVERIES (PERCENTAGE)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1336,"ECOM","WAREHOUSE","NORTH",,"JAIH_JAIPUR","JHOOTHWARA, JAIPUR","JAIH","QUALITY","Daily","DEA (Delivery Estimated Accuracy) Performance","DELAYED DELIVERIES (PERCENTAGE)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1337,"ECOM","WAREHOUSE","SOUTH",,"HYDL_PUDUR","HYDERABAD HYDL","HB LAST MILE","QUALITY","Daily","DEA (Delivery Estimated Accuracy) Performance","DELAYED DELIVERIES (PERCENTAGE)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1338,"NETWORK","TRANSPORTATION","EAST",,"NETWORK","RANCHI HUB (RANH)","NA","DELIVERY","Daily","On Time Deployment/ Placement ","On Time Deployment/ Placement","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1339,"ECOM","WAREHOUSE","NORTH",,"AMAZON AMXL  SATB FC","LUDHIANA-SATB","FULFILLMENT CENTRE","DELIVERY","Daily","Dock CPT Miss","CPT MISS (PROCESSING) (PERCENTAGE)","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1340,"ECOM","WAREHOUSE","SOUTH",,"AMAZON AMXL SMAC FC","CHENNAI - SMAC","FULFILLMENT CENTRE","DELIVERY","Daily","Dock CPT Miss","CPT MISS (PROCESSING) (PERCENTAGE)","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1341,"ECOM","WAREHOUSE","WEST",,"AMAZON AMXL SPNC FC","PUNE","FULFILLMENT CENTRE","DELIVERY","Daily","Dock CPT Miss","CPT MISS (PROCESSING) (PERCENTAGE)","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1342,"ECOM","WAREHOUSE","SOUTH",,"AMAZON FURNITURE XSIQ FC","CHENNAI - XSIQ","FULFILLMENT CENTRE","DELIVERY","Daily","Dock CPT Miss","CPT MISS (PROCESSING) (PERCENTAGE)","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1343,"ECOM","WAREHOUSE","SOUTH",,"AMAZON AMXL SHYB FC","HYDERABAD","FULFILLMENT CENTRE","DELIVERY","Daily","Dock CPT Miss","CPT MISS (PROCESSING) (PERCENTAGE)","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1344,"ECOM","WAREHOUSE","WEST",,"AMAZON AMXL SAME FC","KHEDA - AHMEDABAD","FULFILLMENT CENTRE","DELIVERY","Daily","Dock CPT Miss","CPT MISS (PROCESSING) (PERCENTAGE)","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1345,"ECOM","WAREHOUSE","EAST",,"AMAZON MIX SORT SGAA FC","GUWAHATI","NA_GUWAHATI","DELIVERY","Daily","Dock CPT Miss","CPT MISS (PROCESSING) (PERCENTAGE)","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1346,"ECOM","WAREHOUSE","NORTH",,"AMAZON FURNITURE XNRW FC","LUHARI","FULFILLMENT CENTRE","DELIVERY","Daily","Dock CPT Miss","CPT MISS (PROCESSING) (PERCENTAGE)","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1347,"ECOM","WAREHOUSE","WEST",,"PNQL","NARHE, PUNE","PNQL","PRODUCTIVITY","Daily","SHIPMENTS PER VEHICLES - EXTRA LARGE & LARGE STATION (DELIVERY + PICK UP COUNT)","Shipments per Vehicles - Extra Large & Large Station (Delivery + Pick Up count)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1348,"ECOM","TRANSPORTATION","EAST",,"AMAZON","KOLKATA","LH-KOLKATA","QUALITY","Daily","Pre-Registration (Vehicle Number Registration 6hrs","PRE-REGISTRATION (VEHICLE NUMBER REGISTRATION 6HRS BEFORE TRIP)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1349,"ECOM","TRANSPORTATION","CENTRAL",,"AMAZON","NAGPUR","LH-NAGPUR","QUALITY","Daily","Pre-Registration (Vehicle Number Registration 6hrs","PRE-REGISTRATION (VEHICLE NUMBER REGISTRATION 6HRS BEFORE TRIP)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1350,"ECOM","TRANSPORTATION","NORTH",,"MID MILES- TPT","DELHI",,"QUALITY","Daily","Pre-Registration (Vehicle Number Registration 6hrs","PRE-REGISTRATION (VEHICLE NUMBER REGISTRATION 6HRS BEFORE TRIP)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1351,"ECOM","WAREHOUSE","SOUTH",,"MYNTRA RPC/HUB","HYDERABAD","SORT CENTRE","QUALITY","Daily","RRC (RETURN RECEIVED CONFIRMED )PENDENCY","RRC (Return Received Confirmed )Pendency","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1352,"ECOM","WAREHOUSE","WEST","WEST1","AMZ LM-WH","NASHIK",,"QUALITY","Daily","RRC (RETURN RECEIVED CONFIRMED )PENDENCY","RRC (Return Received Confirmed )Pendency","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1353,"ECOM","WAREHOUSE","NORTH",,"AMAZON DED 6","HARYANA",,"QUALITY","Daily","RRC (RETURN RECEIVED CONFIRMED )PENDENCY","RRC (Return Received Confirmed )Pendency","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1354,"ECOM","WAREHOUSE","SOUTH",,"HYDL_PUDUR","HYDERABAD HYDL","HB LAST MILE","PRODUCTIVITY","Daily","SHIPMENTS PER VEHICLES - EXTRA LARGE & LARGE STATION (DELIVERY + PICK UP COUNT)","Shipments per Vehicles - Extra Large & Large Station (Delivery + Pick Up count)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1355,"ECOM","WAREHOUSE","EAST",,"FRJD","KOLKATA",,"PRODUCTIVITY","Daily","SHIPMENTS PER VEHICLES - EXTRA LARGE & LARGE STATION (DELIVERY + PICK UP COUNT)","Shipments per Vehicles - Extra Large & Large Station (Delivery + Pick Up count)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1356,"ECOM","WAREHOUSE","SOUTH",,"FBLB_YESHWANTPUR","BANGALORE","FBLB","PRODUCTIVITY","Daily","SHIPMENTS PER VEHICLES - EXTRA LARGE & LARGE STATION (DELIVERY + PICK UP COUNT)","Shipments per Vehicles - Extra Large & Large Station (Delivery + Pick Up count)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1357,"ECOM","TRANSPORTATION","NORTH",,"AMAZON","DELHI","LH-DELHI","QUALITY","Daily","Pre-Registration (Vehicle Number Registration 6hrs","PRE-REGISTRATION (VEHICLE NUMBER REGISTRATION 6HRS BEFORE TRIP)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1358,"ECOM","WAREHOUSE","SOUTH",,"HBCE_MADHAVARAM","CHENNAI","HBCE","PRODUCTIVITY","Daily","SHIPMENTS PER VEHICLES - EXTRA LARGE & LARGE STATION (DELIVERY + PICK UP COUNT)","Shipments per Vehicles - Extra Large & Large Station (Delivery + Pick Up count)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1359,"ECOM","WAREHOUSE","NORTH",,"HBDH_MUNDKA","MUNDKA, DELHI","HBDH","PRODUCTIVITY","Daily","SHIPMENTS PER VEHICLES - EXTRA LARGE & LARGE STATION (DELIVERY + PICK UP COUNT)","Shipments per Vehicles - Extra Large & Large Station (Delivery + Pick Up count)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1360,"ECOM","WAREHOUSE","WEST",,"BOMU XL","MULUND, MUMBAI","HB LM","PRODUCTIVITY","Daily","SHIPMENTS PER VEHICLES - EXTRA LARGE & LARGE STATION (DELIVERY + PICK UP COUNT)","Shipments per Vehicles - Extra Large & Large Station (Delivery + Pick Up count)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1361,"ECOM","WAREHOUSE","NORTH",,"JAIH_JAIPUR","JHOOTHWARA, JAIPUR","JAIH","PRODUCTIVITY","Daily","SHIPMENTS PER VEHICLES - EXTRA LARGE & LARGE STATION (DELIVERY + PICK UP COUNT)","Shipments per Vehicles - Extra Large & Large Station (Delivery + Pick Up count)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1362,"ECOM","WAREHOUSE","NORTH",,"HSCD_DHOOLSIRAS","DHOOLSIRAS, DELHI","HSCD","PRODUCTIVITY","Daily","SHIPMENTS PER VEHICLES - EXTRA LARGE & LARGE STATION (DELIVERY + PICK UP COUNT)","Shipments per Vehicles - Extra Large & Large Station (Delivery + Pick Up count)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1363,"ECOM","TRANSPORTATION","NORTH",,"MID MILES- TPT","DELHI",,"PRODUCTIVITY","Daily","SHIPMENTS PER VEHICLES - EXTRA LARGE & LARGE STATION (DELIVERY + PICK UP COUNT)","Shipments per Vehicles - Extra Large & Large Station (Delivery + Pick Up count)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1364,"ECOM","WAREHOUSE","WEST","WEST1","AMZ LM-WH","NASHIK",,"QUALITY","Daily","Simple Bin Count","SIMPLE BIN COUNT","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1365,"ECOM","WAREHOUSE","NORTH",,"AMAZON DED 6","HARYANA",,"QUALITY","Daily","Simple Bin Count","SIMPLE BIN COUNT","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1366,"ECOM","WAREHOUSE","WEST",,"AMAZON CONSUMABLES FC","MUMBAI","FULFILLMENT CENTRE","DELIVERY","Daily","Six-Sided Check And Removal of Old Slam Sticker FR","SIX-SIDED CHECK AND REMOVAL OF OLD SLAM STICKER FR","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"100.000","PENDING"
1367,"NETWORK","TRANSPORTATION","WEST",,"NETWORK","VAPI HUB (VPIH)","NA","COST","Daily","POD Updation (E-POD) Local","POD Updation (E-POD) Local","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1368,"NETWORK","TRANSPORTATION","EAST",,"NETWORK","SAMBALPUR HUB (SMBH)","NA","COST","Daily","POD Updation (E-POD) Local","POD Updation (E-POD) Local","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1369,"NETWORK","TRANSPORTATION","SOUTH",,"NETWORK","COIMBATORE HUB (CJBH)","NA","COST","Daily","POD Updation (E-POD) Local","POD Updation (E-POD) Local","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1370,"NETWORK","TRANSPORTATION","WEST",,"NETWORK","JAIPUR HUB (JAIH)","NA","COST","Daily","POD Updation (E-POD) Local","POD Updation (E-POD) Local","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1371,"NETWORK","TRANSPORTATION","SOUTH",,"NETWORK","CHENNAI HUB (MAAH)","NA","COST","Daily","POD Updation (E-POD) Local","POD Updation (E-POD) Local","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1372,"NETWORK","TRANSPORTATION","EAST",,"NETWORK","RAIPUR HUB (RAIH)","NA","COST","Daily","POD Updation (E-POD) Local","POD Updation (E-POD) Local","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1373,"NETWORK","TRANSPORTATION","WEST",,"NETWORK","PUNE HUB (PNQH)","NA","COST","Daily","POD Updation (E-POD) Local","POD Updation (E-POD) Local","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1374,"NETWORK","TRANSPORTATION","WEST",,"NETWORK","MUMBAI HUB-BOMH","NA","COST","Daily","POD Updation (E-POD) Local","POD Updation (E-POD) Local","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1375,"NETWORK","TRANSPORTATION","WEST",,"NETWORK","GOA HUB (GOIH)","NA","COST","Daily","POD Updation (E-POD) Local","POD Updation (E-POD) Local","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1376,"NETWORK","TRANSPORTATION","WEST",,"NETWORK","SURAT HUB (STVH)","NA","COST","Daily","POD Updation (E-POD) Local","POD Updation (E-POD) Local","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1377,"ECOM","WAREHOUSE","WEST","WEST1","AMZ LM-WH","NASHIK",,"DELIVERY","Daily","Six-Sided Check And Removal of Old Slam Sticker FR","SIX-SIDED CHECK AND REMOVAL OF OLD SLAM STICKER FR","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1378,"NETWORK","TRANSPORTATION","WEST",,"NETWORK","BHIWANDI HUB (BWDH)","NA","COST","Daily","POD Updation (E-POD) Local","POD Updation (E-POD) Local","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1379,"NETWORK","TRANSPORTATION","WEST",,"NETWORK","VADODARA HUB (BARODA) BDQH","NA","COST","Daily","POD Updation (E-POD) Local","POD Updation (E-POD) Local","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1380,"NETWORK","TRANSPORTATION","WEST",,"NETWORK","AHMEDABAD HUB AMDH","NA","COST","Daily","POD Updation (E-POD) Local","POD Updation (E-POD) Local","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1381,"NETWORK","TRANSPORTATION","SOUTH",,"NETWORK","HYDERABAD","NA","COST","Daily","POD Updation (E-POD) Local","POD Updation (E-POD) Local","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1382,"NETWORK","TRANSPORTATION","SOUTH",,"ROYAL ENFIELD","CHENNAI","NA_CHENNAI","COST","Daily","POD Updation (E-POD) Local","POD Updation (E-POD) Local","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1383,"NETWORK","TRANSPORTATION","SOUTH",,"NESTLE INDIA LIMITED","HYDERABAD","NA","COST","Daily","POD Updation (E-POD) Local","POD Updation (E-POD) Local","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1384,"ECOM","TRANSPORTATION","WEST",,"AMAZON","AHMEDABAD","LH-AHMEDABAD","QUALITY","Daily","Pre-Registration (Vehicle Number Registration 6hrs","PRE-REGISTRATION (VEHICLE NUMBER REGISTRATION 6HRS BEFORE TRIP)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1385,"ECOM","TRANSPORTATION","SOUTH",,"AMAZON","BANGALORE","LH-BANGALORE","QUALITY","Daily","Pre-Registration (Vehicle Number Registration 6hrs","PRE-REGISTRATION (VEHICLE NUMBER REGISTRATION 6HRS BEFORE TRIP)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1386,"ECOM","TRANSPORTATION","WEST",,"AMAZON","BHIWANDI","LH-BHIWANDI","QUALITY","Daily","Pre-Registration (Vehicle Number Registration 6hrs","PRE-REGISTRATION (VEHICLE NUMBER REGISTRATION 6HRS BEFORE TRIP)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1387,"ECOM","TRANSPORTATION","WEST",,"AMAZON","BHIWANDI","LH-BHIWANDI","DELIVERY","Daily","Vehicle On-Time Placement","VEHICLE PLACEMENT ADHERENCE","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1388,"ECOM","TRANSPORTATION","NORTH",,"AMAZON","DELHI","LH-DELHI","DELIVERY","Daily","TAT Performance","TAT ADHERENCE (PERCENTAGE)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1389,"ECOM","TRANSPORTATION","CENTRAL",,"AMAZON","NAGPUR","LH-NAGPUR","DELIVERY","Daily","TAT Performance","TAT ADHERENCE (PERCENTAGE)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1390,"ECOM","TRANSPORTATION","NORTH",,"MID MILES- TPT","DELHI",,"COST","Daily","TAT Performance","TAT ADHERENCE (PERCENTAGE)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1391,"ECOM","TRANSPORTATION","NORTH",,"MID MILES- TPT","DELHI",,"DELIVERY","Daily","TAT Performance","TAT ADHERENCE (PERCENTAGE)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1392,"ECOM","WAREHOUSE","WEST",,"AMAZON CONSUMABLES FC","MUMBAI","FULFILLMENT CENTRE","DELIVERY","Daily","Tote Scan Compliance (IB/OB)","TOTE SCAN COMPLIANCE (IB/OB)","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"100.000","PENDING"
1393,"ECOM","WAREHOUSE","WEST","WEST1","AMZ LM-WH","NASHIK",,"DELIVERY","Daily","Tote Scan Compliance (IB/OB)","TOTE SCAN COMPLIANCE (IB/OB)","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1394,"ECOM","WAREHOUSE","NORTH",,"AMAZON DED 6","HARYANA",,"DELIVERY","Daily","Tote Scan Compliance (IB/OB)","TOTE SCAN COMPLIANCE (IB/OB)","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1395,"ECOM","TRANSPORTATION","WEST",,"AMAZON","AHMEDABAD","LH-AHMEDABAD","DELIVERY","Daily","Vehicle On-Time Placement","VEHICLE PLACEMENT ADHERENCE","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1396,"ECOM","TRANSPORTATION","SOUTH",,"AMAZON","BANGALORE","LH-BANGALORE","DELIVERY","Daily","Vehicle On-Time Placement","VEHICLE PLACEMENT ADHERENCE","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1397,"ECOM","TRANSPORTATION","EAST",,"AMAZON","KOLKATA","LH-KOLKATA","DELIVERY","Daily","TAT Performance","TAT ADHERENCE (PERCENTAGE)","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1398,"ECOM","TRANSPORTATION","NORTH",,"AMAZON","DELHI","LH-DELHI","DELIVERY","Daily","Vehicle On-Time Placement","VEHICLE PLACEMENT ADHERENCE","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1399,"ECOM","TRANSPORTATION","EAST",,"AMAZON","KOLKATA","LH-KOLKATA","DELIVERY","Daily","Vehicle On-Time Placement","VEHICLE PLACEMENT ADHERENCE","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1400,"ECOM","TRANSPORTATION","CENTRAL",,"AMAZON","NAGPUR","LH-NAGPUR","DELIVERY","Daily","Vehicle On-Time Placement","VEHICLE PLACEMENT ADHERENCE","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1401,"ECOM","TRANSPORTATION","NORTH",,"MID MILES- TPT","DELHI",,"DELIVERY","Daily","Vehicle On-Time Placement","VEHICLE PLACEMENT ADHERENCE","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1402,"ECOM","WAREHOUSE","NORTH",,"FLIPKART NON LARGE FC JAIPUR","JAIPUR","FULFILLMENT CENTRE","QUALITY","Daily","Warehouse Damages","WAREHOUSE DAMAGES","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1403,"ECOM","WAREHOUSE","WEST",,"FLIPKART NON LARGE FC NAGPUR","NAGPUR","FULFILMENT CENTRE","QUALITY","Daily","Warehouse Damages","WAREHOUSE DAMAGES","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1404,"ECOM","WAREHOUSE","EAST",,"FLIPKART NON LARGE FC PATNA","PATNA","FULFILLMENT CENTER","QUALITY","Daily","Warehouse Damages","WAREHOUSE DAMAGES","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1405,"ECOM","WAREHOUSE","SOUTH",,"FLIPKART NON LARGE FC CHENNAI","CHENNAI","FULFILLMENT CENTRE","QUALITY","Daily","Warehouse Damages","WAREHOUSE DAMAGES","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1406,"ECOM","WAREHOUSE","SOUTH",,"FLIPKART NON LARGE FC HUBLI","HUBLI","FULFILLMENT CENTRE","QUALITY","Daily","Warehouse Damages","WAREHOUSE DAMAGES","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1407,"ECOM","WAREHOUSE","SOUTH",,"FLIPKART B2B GROCERY FC BOMMASANDRA","BANGALORE","FULFILLMENT CENTRE","QUALITY","Daily","Switcheroo (Incl. OB Shipment, TX Out and Removals","Switcheroo (incl. OB shipment, Tx Out and Removals)/ Miss Shipment","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1408,"ECOM","WAREHOUSE","NORTH",,"AMAZON DED 6","HARYANA",,"DELIVERY","Daily","Six-Sided Check And Removal of Old Slam Sticker FR","SIX-SIDED CHECK AND REMOVAL OF OLD SLAM STICKER FR","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1409,"ECOM","WAREHOUSE","NORTH",,"AMAZON XL FC","LUHARI","FULFILLMENT CENTRE","DELIVERY","Daily","Switcheroo (Incl. OB Shipment, TX Out and Removals","Switcheroo (incl. OB shipment, Tx Out and Removals)/ Miss Shipment","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
1410,"ECOM","WAREHOUSE","SOUTH",,"FLIPKART GROCERY FC","HYDERABAD","FULFILLMENT CENTRE","DELIVERY","Daily","Switcheroo (Incl. OB Shipment, TX Out and Removals","Switcheroo (incl. OB shipment, Tx Out and Removals)/ Miss Shipment","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
