"Sr. No","Vertical","Service Line","Cluster","SubCluster","Account","Location","Block","Category","Frequency","Dwmsparameter","Formula","Uom","Ideal Direction","Expected Entry Date","Actual Entry Date","Numerator","Num1 Decription","Num1","Num2 Decription","Num2","Num3 Decription","Num3","Denominator","Deno1 Decription","Deno1","Deno2 Decription","Deno2","Deno3 Decription","Deno3","Achieved","Calculated Value","Target Achieved","Status"
46,"M&M AFS","WAREHOUSE","NORTH",,"Swaraj Division RSO_ Mohali","MOHALI","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"77.000","PENDING"
47,"M&M AFS","WAREHOUSE","CENTRAL",,"Swaraj Division RSO_ Nagpur","NAGPUR","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
48,"M&M AFS","WAREHOUSE","EAST",,"Swaraj Division RSO_ Panagarh","PANAGARH","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
49,"M&M AFS","WAREHOUSE","NORTH",,"Swaraj Division RSO_ Patna","PATNA","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
50,"M&M AFS","WAREHOUSE","CENTRAL",,"Swaraj Division RSO_ Raipur","RAIPUR","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
51,"M&M AFS","WAREHOUSE","WEST1",,"Swaraj Division RSO_ Rajkot","RAJKOT","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
52,"M&M AFS","TRANSPORTATION","WEST1",,"Mahindra & Mahindra Plant_ Chakan","CHAKAN","NA","DELIVERY","Daily","Vehicle Placement (AOB)","Total VINs dispatched/Total invoice VINs for the day","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"100.000","PENDING"
53,"M&M AFS","TRANSPORTATION","WEST1",,"Mahindra & Mahindra Plant_ Kandivali","KANDIVALI","NA","SAFETY","Daily","Vehicle Breakdown","Total no of vehicle breakdown","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
54,"M&M AFS","TRANSPORTATION","SOUTH",,"Mahindra & Mahindra Plant_ Zaheerabad","ZAHEERABAD","NA1_Z","SAFETY","Daily","Vehicle Breakdown","Total no of vehicle breakdown","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
55,"M&M AFS","TRANSPORTATION","WEST1",,"MTBD_ Chakan","CHAKAN","NA","SAFETY","Daily","Vehicle Breakdown","Total no of vehicle breakdown","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
56,"M&M AFS","TRANSPORTATION","NORTH",,"MAHINDRA AND MAHINDRA LTD","HARIDWAR","NA","SAFETY","Daily","Vehicle Breakdown","Total no of vehicle breakdown","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
57,"M&M AFS","TRANSPORTATION","NORTH",,"Swaraj OB_ Mohali_ TPT","MOHALI","NA","DELIVERY","Daily","Vehicle Placement","Total number of Vehcile provided on time / Total number of vehicle requested","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"89.000","PENDING"
58,"M&M AFS","TRANSPORTATION","WEST1",,"FES OB_ Gromax_ TPT","VADODARA","NA","DELIVERY","Daily","Vehicle Placement","Total number of Vehcile provided on time / Total number of vehicle requested","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"66.000","PENDING"
59,"M&M AFS","TRANSPORTATION","NORTH",,"FES OB_ Jaipur_ TPT","JAIPUR","NA_3","DELIVERY","Daily","Vehicle Placement","Total number of Vehcile provided on time / Total number of vehicle requested","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
60,"M&M AFS","TRANSPORTATION","CENTRAL",,"FES OB_ Nagpur_ TPT","NAGPUR","NA","DELIVERY","Daily","Vehicle Placement","Total number of Vehcile provided on time / Total number of vehicle requested","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
61,"M&M AFS","TRANSPORTATION","WEST1",,"FES OB_ Rajkot_ TPT","RAJKOT","NA","DELIVERY","Daily","Vehicle Placement","Total number of Vehcile provided on time / Total number of vehicle requested","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
62,"M&M AFS","TRANSPORTATION","NORTH",,"FES OB_ Rudrapur_ TPT","RUDRAPUR","NA","DELIVERY","Daily","Vehicle Placement","Total number of Vehcile provided on time / Total number of vehicle requested","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
63,"M&M AFS","TRANSPORTATION","SOUTH",,"FES OB_ Zaheerabad_ TPT","ZAHEERABAD","NA1_Z","DELIVERY","Daily","Vehicle Placement","Total number of Vehcile provided on time / Total number of vehicle requested","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
64,"M&M AFS","TRANSPORTATION","NORTH",,"Mahindra & Mahindra Plant_ Haridwar","HARIDWAR","NA","DELIVERY","Daily","Vehicle Placement (AOB)","Total VINs dispatched/Total invoice VINs for the day","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
65,"M&M AFS","TRANSPORTATION","WEST2",,"Mahindra & Mahindra Plant_ Nashik","NASHIK","NA","SAFETY","Daily","Vehicle Breakdown","Total no of vehicle breakdown","Nos","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
66,"M&M AFS","TRANSPORTATION","WEST2",,"Mahindra & Mahindra Plant_ Nashik","NASHIK","NA","DELIVERY","Daily","Vehicle Placement (AOB)","Total VINs dispatched/Total invoice VINs for the day","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
67,"M&M AFS","TRANSPORTATION","WEST1",,"Mahindra & Mahindra Plant_ Kandivali","KANDIVALI","NA","DELIVERY","Daily","Vehicle Placement (AOB)","Total VINs dispatched/Total invoice VINs for the day","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
68,"M&M AFS","TRANSPORTATION","SOUTH",,"Mahindra & Mahindra Plant_ Zaheerabad","ZAHEERABAD","NA1_Z","DELIVERY","Daily","Vehicle Placement (AOB)","Total VINs dispatched/Total invoice VINs for the day","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
69,"M&M AFS","TRANSPORTATION","WEST1",,"MTBD_ Chakan","CHAKAN","NA","DELIVERY","Daily","Vehicle Placement (AOB)","Total VINs dispatched/Total invoice VINs for the day","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
70,"M&M AFS","TRANSPORTATION","NORTH",,"MAHINDRA AND MAHINDRA LTD","HARIDWAR","NA","DELIVERY","Daily","Vehicle Placement (AOB)","Total VINs dispatched/Total invoice VINs for the day","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
71,"M&M AFS","TRANSPORTATION","WEST1",,"FES OB_ Gromax_ TPT","VADODARA","NA","DELIVERY","Daily","Vehicle Transit Time (IB/IUTN/CD)","Vehicle Transit Time (IB/IUTN/CD) - (On Time + Before Time)/Total no of Delivery","Percentage","Lower","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.500","PENDING"
